"cnes";"nome_estabelecimento";"lat";"lon"
"2025051";"UBS 5 VILA PRUDENTE";NA;NA
"2159759";"LABORATORIO ANALISE";"-12.2261195";"-38.9530322"
"9136177";"SAMU 192 TAUBATE BASE SAO LPARAITINGA";"-23.024996";"-45.5638792"
"9128735";"SAMU 192 TAUBATE BASE PIRACANGAGUA BASICA";"-23.0671013";"-45.6101584"
"2616483";"HOSPITAL SANTA CLARA";"4.591307";"-74.0920058"
"3003310";"USF SANTA ELISA BOTUCATU";"-22.912998";"-48.4751726"
"6451098";"HOSPITAL DALILA FERREIRA BARBOSA";"-23.3926622";"-46.3146398"
"6008054";"UNIDADE DE PRONTO ATENDIMENTO UNIDADE XVI UPA XVI";NA;NA
"5595746";"PRONTO ATENDIMENTO PARAVENTI";NA;NA
"2810034";"HOSPITAL MUNICIPAL E MATERNIDADE MENINO JESUS";NA;NA
"2663821";"CENTRO DE SAUDE BELA VISTA";"-27.6550379";"-48.6836486"
"2663856";"CENTRO DE SAUDE IPIRANGA";NA;NA
"9752706";"CAPS Girassol";"-16.6554186";"-49.3218491"
"7637802";"UPA PRINCESA ISABEL";"-7.7419848";"-37.9946415"
"7176481";"CAPS I";NA;NA
"2454475";"HOSPITAL REGIONAL DR. JOSÉ MURAD - VIANA";NA;NA
"6871747";"HOSPITAL REGIONAL DE MORROS";"-2.876123";"-44.040995"
"3070727";"APAE DE OURINHOS";"-22.9714194";"-49.8804988"
"6847579";"HOSPITAL REGIONAL DE PAULINO NEVES";"-2.7299651";"-42.5289188"
"9133526";"SAMU 192 TAUBATE BASE SANTO ANTONIO DO PINHAL";"-22.8248431";"-45.667181"
"6607950";"HOSPITAL MUNICIPAL DE FOZ DO IGUACU PRO SAUDE";"-25.5165101";"-54.585403"
"2688409";"ESF CIDADE JARDIM";"-22.2445875";"-45.8628849"
"3069648";"CENTRO DE SAUDE SEDE";"-15.4623966";"36.98354"
"6603432";"AME MOGI-GUAÇU";"-22.3787925";"-46.9399067"
"9141316";"SAMU 192 TAUBATE BASE NATIVIDADE DA SERRA";"-23.3791984";"-45.4438495"
"9152245";"SAMU 192 TAUBATE BASE BASICA CAMPOS DO JORDAO II";"-22.7408457";"-45.594391"
"7208332";"COMPLEXO REGULADOR ESTADUAL";"-15.5997456";"-56.1020871"
"2083272";"HOSPITAL MUNICIPAL DE BERTIOGA";"-23.8429362";"-46.1396987"
"2688107";"UBS VILA APARECIDA";"-23.6909981";"-46.6701895"
"2688379";"UBS MORRO GRANDE DA BOA VISTA";"-23.0180383";"-46.4633415"
"3654346";"ESF HENEDINA RODRIGUES CORTEZ";"-22.9116431";"-46.5362907"
"2663546";"CENTRO DE SAUDE PROCASA";NA;NA
"3654303";"ESF VILA DAVID I";"-22.9365983";"-46.5499572"
"2189879";"UNIDADE DE PRONTO ATENDIMENTO RESSACA UPA";NA;NA
"5955653";"UPA Campo Grande I";"-22.9511469";"-47.1899432"
"9152237";"SAMU 192 TAUBATE BASE BASICA CAMPOS DO JORDAO I";"-22.7408457";"-45.594391"
"3815684";"SERVICOS RESIDENCIAIS TERAPEUTICOS BOTUCATU";"-22.8873233";"-48.444658"
"2043998";"UBS São Vicente";"-23.9603273";"-46.3968727"
"2688050";"ESF NILDA COLLI";"-22.9339979";"-46.5467652"
"6754325";"UPA Santa Rita";"4.5957972";"-74.1239812"
"2688360";"UBS BIRICA DO VALADO";"-22.9877533";"-46.6603248"
"3722007";"CENTRO DE ESPECIALIDADES";"39.4348441";"-0.4621227"
"2663791";"CENTRO DE SAUDE COLONIA SANTANA";"-27.5874993";"-48.7216521"
"2688425";"ESF SAO MIGUEL";"-15.5527582";"-55.1500341"
"2081490";"REDE MUNICIPAL DR. MÁRIO GATTI";"-22.9161093";"-47.0685528"
"2688085";"UBS SANTA LUZIA";"-16.7472553";"-49.2289375"
"7463030";"UPA UNIDADE DE PRONTO ATENDIMENTO 24H VILA DAVI";NA;NA
"7445032";"UNIDADE DE PRONTO ATENDIMENTO DE LAJEADO UPA 24H";"-29.4606311";"-51.9679026"
"6347789";"ESF HIPICA JAGUARI";"-22.9206229";"-46.53789"
"6847587";"UPA ARACAGY";"-2.4779397";"-44.2112485"
"7473702";"HOSP MUN DE MOGI DAS CRUZES PREF WALDEMAR COSTA FILHO";"-23.5393849";"-46.216729"
"2602075";"APMICA - ASSOCIAÇÃO DE PROTEÇÃO À MATERNIDADE E INFÂNCIA DE CASTRO ALVES";"-12.7630815";"-39.4297707"
"6585019";"UNAD UNIDADE DE ATENDIMENTO AO DEPENDENTE";"-23.6107514";"-46.582311"
"3564703";"NAIA NUCLEO DE ATENDIMENTO A INFANCIA E ADOLESCENCIA";NA;NA
"2080915";"HOSPITAL BENEFICENTE PADRE BERNARDO BRAAKIUS";"-15.1679791";"-48.2845587"
"2452383";"HRMI HOSPITAL REGIONAL MATERNO INFANTIL DE IMPERATRIZ";"-5.5284246";"-47.4868963"
"9579141";"CENTRO DE REABILITACAO DE ARACARIGUAMA";"-23.437744";"-47.0638699"
"2604426";"HOSPITAL REGIONAL DO ARAGUAIA";"-8.0225338";"-50.0429077"
"3004392";"USF PARQUE MARAJOARA BOTUCATU";"-22.9143507";"-48.4539405"
"2663848";"CENTRO DE SAUDE JARDIM ZANELLATO";NA;NA
"2309475";"CENTRO DE SAUDE GENESIO REGO";"-2.5442632";"-44.2568044"
"9077979";"CENTRO DE SAUDE VISTA BELA";NA;NA
"5372526";"PSF CAMPINAS";"-22.9050824";"-47.0613327"
"2257572";"HOSPITAL NOSSA SENHORA DO CARMO";"-22.8984144";"-43.5614937"
"2392410";"HOSPITAL REGIONAL DE COLÍDER";"-10.7983655";"-55.4617893"
"7648383";"CONSULTORIO NA RUA MARICA";NA;NA
"9002197";"UPA 24H AREAL";NA;NA
"2160137";"UPA JK";"-19.9428629";"-44.0362383"
"2688352";"UBS ARARA DOS MORI";"-22.8458214";"-46.5461217"
"5935857";"HOSPITAL MUNICIPAL DE EMERGENCIAS ALBERT SABIN";"-23.6178014";"-46.5565777"
"2059444";"CENTRO DE SAUDE MUNICIPAL ARACARIGUAMA";"-23.437744";"-47.0638699"
"6033121";"SMS CMS ANTENOR NASCENTES AP 32";"-22.9065298";"-43.2741306"
"2749319";"HOSPITAL MUNICIPAL UNIVERSITARIO DE TAUBATE";"-23.0215727";"-45.5563493"
"2039966";"UBS Alvorada";"-29.2021259";"-51.1995162"
"2663732";"PSF SANTO SARAIVA";NA;NA
"6851312";"UPA CIDADE OPERARIA";"-2.5746834";"-44.1976639"
"2065339";"CENTRO DE SAUDE PE CESAR CORNEO";NA;NA
"3403904";"ESF CDHU SAADA NADER ABI CHEDID";"-22.9308221";"-46.5439225"
"6887309";"PSF INOA 2";NA;NA
"6929583";"UPA IMPERATRIZ";"-5.5237174";"-47.4922093"
"2646536";"HOSPITAL DE CANCER DO MARANHAO DR TARQUINIO LOPES FILHO";"-2.5421128";"-44.2996428"
"2674327";"HOSPITAL NOSSA SENHORA DOS NAVEGANTES";"-29.3352315";"-49.7278384"
"2663872";"CENTRO DE SAUDE SERTAO DO IMARUIM";NA;NA
"9137696";"SAMU 192 TAUBATE BASE DE LAGOINHA";"-23.024996";"-45.5638792"
"7321252";"HOSPITAL GERAL DE MONÇÃO";"42.0771855";"-8.4819441"
"2697661";"HOSPITAL AQUILES LISBOA";"-2.5322896";"-44.3277369"
"9128786";"SAMU 192 TAUBATE BASE SANTA HELENA";"-23.024996";"-45.5638792"
"9126546";"SAMU 192 TAUBATE CENTRAL DE REGULACAO";"-23.024996";"-45.5638792"
"9309497";"AMBULATÓRIO SAÚDE DA MULHER - SERVIÇOS DE IMAGEM (MAMOGRAFIA E ULTRASSONOGRAFIA)";NA;NA
"2082381";"HOSPITAL MUNICIPAL DE BEBEDOURO JULIA PINTO CALDEIRA";"-20.9346763";"-48.496481"
"3087824";"CEREST CENTRO DE REFERENCIA EM SAUDE DO TRABALHADOR BTU";"-7.1222418";"-34.8484033"
"2458292";"HOSPITAL PRESIDENTE VARGAS";"-2.545213";"-44.26603"
"7758375";"CENTRO DE ESPECIALIDADES";"39.4348441";"-0.4621227"
"3959945";"AADF ASSOCIACAO DE ASSISTENCIA AO DEFICIENTE FISICO";NA;NA
"9128751";"SAMU 192 TAUBATE BASE SAN MARINO";"-23.024996";"-45.5638792"
"3316300";"HOSPITAL REGIONAL DO NORTE PIONEIRO";NA;NA
"9133364";"SAMU 192 TAUBATE BASE TREMEMBE";"-22.9704178";"-45.5437714"
"7345259";"UPA EDUARDO CAMPOS";NA;NA
"2459647";"CENTRO DE ESPECIALIDADES MEDICAS E DIAGNOSTICO DO DIAMANTE";NA;NA
"3069621";"CENTRO DE SAUDE MORAR BEM";NA;NA
"7911238";"UPA TRAPICHE DA BARRA";"-9.6669911";"-35.7580526"
"2663775";"CENTRO DE SAUDE SERRARIAS";NA;NA
"2688441";"EACS SAO VICENTE";"-23.9603273";"-46.3968727"
"6992021";"UPA SAO JOAO DOS PATOS";"-6.4947239";"-43.7024303"
"7684967";"CENTRO DE SAUDE SAO LUIS";"-2.5306721";"-44.2988947"
"9128778";"SAMU 192 TAUBATE BASE FAZENDINHA";"-23.024996";"-45.5638792"
"3242218";"ESF PARQUE DOS ESTADOS I";"-22.9138757";"-46.5540619"
"9439897";"UPA UNIDADE DE PRONTO ATENDIMENTO 24 HORAS BOM JESUS";"-20.7395666";"-48.9064151"
"9080449";"CENTRO DE SAUDE CENIRO MARTINS";"-27.5765885";"-48.6595674"
"2159368";"CENTRO DE MEDICINA NUCLEAR DIVINOPOLIS";"-20.1435294";"-44.8904062"
"2593262";"HOSPITAL DE EMERGÊNCIA E TRAUMA SENADOR HUMBERTO LUCENA";"-7.1162118";"-34.8428014"
"7130538";"UPA UNIDADE DE PRONTO ATENDIMENTO OURINHOS";"-22.9796575";"-49.8666218"
"6826393";"UPA PARQUE VITORIA";"-2.5194383";"-44.20904"
"6209688";"UNIDADE MISTA DO MAIOBAO";"-2.5469434";"-44.1744221"
"2079453";"HOSPITAL LEONOR MENDES DE BARROS";"-23.535934";"-46.588712"
"2233355";"Hospital Municipal de São José do Norte";"-32.0097314";"-52.0410286"
"2688344";"UBS MAE DOS HOMENS";"-22.8891458";"-46.6071695"
"2159619";"CENTRO DE APOIO DIAGNOSTICO";NA;NA
"7553749";"Centro de Atenção Psicossocial (CAPS 1)";"-22.6078719";"-48.8124339"
"3193586";"ESF PLANEJADA I";"-22.9179708";"-46.5548542"
"9812482";"UBS II CINTRA GORDINHO";NA;NA
"6517242";"ESF VILA BIANCHI";NA;NA
"2688042";"ESF AGUA COMPRIDA";"-22.983512";"-46.4656375"
"2189860";"UNIDADE DE PRONTO ATENDIMENTO VARGEM DAS FLORES UPA";"-19.8373523";"-44.1476811"
"6905935";"CENTRO DE ESPECIALIDADES MEDICAS DA CIDADE OPERARIA";"-2.574228";"-44.193257"
"2362619";"reabilita - CER IV";NA;NA
"7694547";"CENTRO ESPECIALIZADO DE REABILITACAO DO OLHO DAGUA CER III";NA;NA
"9752692";"CAPS Caminhos do Sol";"-30.0426526";"-51.1350549"
"2688077";"ESF PEDRO MEGALE";"-22.941332";"-46.5529247"
"2663570";"CENTRO DE SAUDE FAZENDA SANTO ANTONIO";NA;NA
"6085423";"HOSPITAL REGIONAL DE SINOP";"-11.8543783";"-55.5102602"
"6915787";"ADO ASSOCIACAO DOS DIABETICOS DE OURINHOS";"-22.9796575";"-49.8666218"
"7014457";"SAMU 192 REGIONAL BRAGANCA PAULISTA";"-22.9531705";"-46.5423239"
"9364439";"HOSPITAL DE TRAUMA E ORTOPEDIA HTO";"-2.5084781";"-44.231434"
"2039931";"UBS Santa Clara";"37.3541079";"-121.9552356"
"3568172";"UBS DO CENTRO DE RIO GRANDE DA SERRA";"-23.742108";"-46.3962163"
"2748142";"USF SANTA TEREZA";"-23.7522398";"-46.4026859"
"2748118";"UBS VILA LOPES";"-23.7292577";"-46.3910396"
"2748126";"USF PARQUE AMERICA";"-23.7613736";"-46.4103441"
"7215169";"UBS VILA SAO JOAO";"-23.416495";"-51.438083"
"7215207";"UBS VILA NIWA";"-23.7389827";"-46.3581953"
"7215185";"UBS SITIO MARIA JOANA";"-23.7152202";"-46.3633167"
"2748096";"USF RAIMUNDO DA MATTA";"-23.747864";"-46.3790877"
"9033351";"UPA VEREADOR JOSE DA ROCHA GONCALVES";"37.1571851";"-8.5595477"
"2082098";"HOSPITAL DR ADHEMAR DE BARROS APIAI";"-24.5090492";"-48.8463899"
"7772173";"CENTRO ESTADUAL CREDEQ APARECIDA DE GOIANIA PROF JAMIL ISSY";"-16.8177756";"-49.192247"
"9225137";"PRONTO SOCORRO MUNICIPAL DE PINDAMONHANGABA";"-22.9310948";"-45.4584924"
"2788454";"AMA UBS INTEGRADA PQ STO ANTONIO";"-18.9450419";"-48.3470057"
"2815273";"UBS ZUMBI DOS PALMARES";"-23.6721261";"-46.7446062"
"9684093";"CAPS III ALCOOL E DROGAS JARDIM SAO LUIZ";"-23.6513756";"-46.7330562"
"3661741";"UBS NOVO CAMINHO";"-23.6546835";"-46.7345188"
"2788160";"UBS NOVO JARDIM I";"-23.6667204";"-46.7365455"
"5313902";"UBS BRASILIA M BOI MIRIM";"-23.6538951";"-46.7451038"
"5079454";"UBS J CELESTE";NA;NA
"4050053";"UBS CHACARA SANTANA";"-23.6716714";"-46.747067"
"6415431";"ASSISTÊNCIA DOMICILIAR M BOI MIRIM";NA;NA
"4050185";"AMA/UBS INTEGRADA JARDIM ALFREDO";"-23.681876";"-46.7390557"
"4049810";"UBS V DAS BELEZAS ALBERTO AMBROSIO";NA;NA
"2815451";"AMA UBS INTEGRADA PQ FIGUEIRA GRANDE";NA;NA
"4049861";"UBS J SOUZA";NA;NA
"4050118";"UBS J THOMAS";NA;NA
"6964370";"UPA Guarabira";"-6.8652968";"-35.4861027"
"3444538";"Centro de Referência do Idoso Zona Norte";"-23.4851638";"-46.6326106"
"6546463";"AME Itapevi";"-23.5428985";"-46.9363255"
"2751925";"HOSPITAL DIA DA REDE HORA CERTA CIDADE ADEMAR";"-23.6708586";"-46.6566541"
"6559131";"Hospital Estadual Central";"-20.3169031";"-40.3402584"
"2534460";"Hospital Regional de Cáceres";"-16.0819445";"-57.6775225"
"6932355";"Serviço Estadual de Diagnóstico por Imagem I";NA;NA
"6351662";"Centro Estadual de Análises Clínicas da Zona Sul";NA;NA
"6607179";"AME Atibaia";"-23.1133808";"-46.5420474"
"3996344";"Centro Estadual de Análises Clínicas da Zona Norte";NA;NA
"6476058";"AME Presidente Prudente";"-22.1345648";"-51.4091689"
"6056148";"AME São Jose do Rio Preto";"-20.8070696";"-49.3596491"
"9667830";"CENTRO DE ANÁLISES CLÍNICAS";NA;NA
"7136552";"UPA NITERÓI";"-29.9515968";"-51.1705732"
"9041753";"CRER – CENTRO ESTADUAL DE REABILITAÇÃO E READAPTAÇÃO DR. HENRIQUE SANTILLO / AGIR";"-16.6549245";"-49.2471117"
"9093931";"UPA DR CLESIO RODRIGUES MOREIRA";NA;NA
"7065515";"Hospital São Francisco de Assis na Providência de Deus";NA;NA
"6586767";"RJ - PARAÍBA DO SUL - SES RJ HOSPITAL DE TRAUMATOLOGIA E ORTOPEDIA DONA LINDU";"-22.1466638";"-43.2867711"
"7065485";"UPA MESQUITA";"-22.7952388";"-43.423718"
"6038883";"UPA REALENGO";"-22.8745011";"-43.430513"
"6037569";"UPA MARECHAL HERMES";"-22.8597666";"-43.3752684"
"2403080";"ESF SAGRADA FAMILIA";"-20.1627246";"-44.8547851"
"5779022";"ESF DE IRIRITIMIRIM";"-20.541326";"-40.787494"
"5955645";"UPA Bangu";"-22.8715454";"-43.4599256"
"5955688";"UPA RICARDO DE ALBUQUERQUE";"-22.8364143";"-43.3967208"
"3743772";"PRONTO ATENDIMENTO MUNICIPAL KLINGER MINASSA";NA;NA
"6322697";"ESF CAJA";NA;NA
"0025143";"HOSPITAL MUNICIPAL DR MUNIR RAFFUL";"-22.4996158";"-44.1228671"
"2403137";"ESF SAO JOAO DE CRUBIXA";"-20.643176";"-40.870342"
"9202269";"UNIDADE DE PRONTO ATENDIMENTO UPA 24 H PADRE ALDO SEIDEL";NA;NA
"7100035";"PRONTO ATENDIMENTO MUNICIPAL ADAUTO GONCALVES PESSINE";NA;NA
"7019823";"Unidade de Reabilitação Lucy Montoro em Fernandópolis";"-20.2842661";"-50.2467846"
"9503196";"Ame Botucatu";"-22.8776821";"-48.4777829"
"6568971";"AME Andradina";"-20.9028461";"-51.387157"
"6572367";"AME Araçatuba";"-21.2090938";"-50.4278249"
"4028155";"HOSPITAL REGIONAL DE JUAZEIRO";"-9.4140969";"-40.5105631"
"3245500";"HOSPITAL DA CHAPADA";"-12.5297619";"-40.3100404"
"2115786";"UPA DE IBIRITE";"-20.0190489";"-44.0682117"
"7697422";"UPA DR MANOEL JOAQUIM DOS REIS";NA;NA
"9212582";"CAPS INFANTIL REDE ASSIST SAUDE ARACATUBA";"-21.2066711";"-50.4387286"
"9314903";"CAPS III ADULTO REDE DE ASSISTENCIA DE SAUDE DE ARACATUBA";"-21.2328503";"-50.466659"
"5498465";"HOSPITAL REGIONAL PÚBLICO DO ARAGUAIA";"-8.0225338";"-50.0429077"
"6066585";"CAPS ADULTO III PARELHEIROS";"-23.8288478";"-46.7230981"
"2787628";"AMA UBS INTEGRADA JARDIM MIRNA";"-23.7715395";"-46.6963165"
"9003398";"UBS DR GHAZI OSMAN BARACATI RHAZI UBS DONA AMELIA";"-21.1967163";"-50.4437522"
"3561186";"UBS VERA POTY";"-23.8676596";"-46.6516285"
"2043874";"UBS RAIMUNDA SOUZA MARTINEZ SAO VICENTE";"-21.2021553";"-50.4507185"
"5012600";"CEO III PARELHEIROS- CLÍNICA ODONTOL. ESPEC. YVETTE RANZINI VIEGAS";"-23.8281051";"-46.7311693"
"2031981";"CENTRO DE SAUDE DE ARACATUBA DR ARISTIDES TRONCOSO PERES";"-21.2149425";"-50.4196777"
"2751909";"AMB ESPEC DR MILTON ALDRED";NA;NA
"6280161";"CAPS ADULTO II CASA VERDE";"-23.5081363";"-46.6668613"
"6683983";"CAPS INFANTOJUVENIL II PARELHEIROS AQUARELA";"-23.6944";"-46.6612676"
"6332420";"UBS BARRAGEM";"-23.8777159";"-46.6501916"
"7975465";"CEO II CAPELA DO SOCORRO";"-23.587778";"-46.716667"
"2066866";"UBS IRMA DULCE TAVEIRA";"-5.1909098";"-42.7737928"
"6332471";"UBS MARSILAC";"-23.9065622";"-46.7078548"
"2789213";"UBS VILA PROGRESSO - JARDIM MONTE ALEGRE";"-23.4767459";"-46.7034411"
"2027321";"UBS RECANTO CAMPO BELO";"-23.7923868";"-46.7385728"
"6360890";"AMA ESPECIALIDADES JARDIM ICARAÍ";"-23.7494406";"-46.7069112"
"3503488";"UBS ALTO DE PINHEIROS";"-23.5378425";"-46.7221972"
"2082837";"PSM LAPA - PROF. JOÃO CATARIN MEZOMO";NA;NA
"2788985";"UBS VILA IPOJUCA - WANDA COELHO DE MORAES";"-23.5319711";"-46.7010464"
"4049896";"UBS ALCINA PIMENTEL PIZA";"-23.7688616";"-46.6492511"
"9664815";"CAPS ADULTO III GRAJAU";"-23.7615258";"-46.6589828"
"6135927";"AMA PARELHEIROS";"-23.8301386";"-46.7270989"
"2787814";"UBS JARDIM SAO NORBERTO";"-23.817556";"-46.7053449"
"2787253";"AMA/UBS INTEGRADA JARDIM CASTRO ALVES";"-23.7444069";"-46.6813993"
"2067552";"UAMO PRATA DE ARACATUBA";"-21.2066711";"-50.4387286"
"2788071";"UBS MARIA CECÍLIA F. DONNANGELO";NA;NA
"2788373";"UBS PARQUE PERUCHE";"-23.4976872";"-46.655084"
"6642470";"CER II PARELHEIROS";"-23.8281051";"-46.7311693"
"2029189";"PSM FREGUESIA DO Ó - 21 DE JUNHO";"-23.5014967";"-46.6977016"
"2043890";"UBS NELSON GASPAR DIP ALVORADA";"-21.2343118";"-50.4227681"
"2787709";"UBS JARDIM REPUBLICA";"-23.7149958";"-46.6872344"
"6141757";"AMA VILA PIAUÍ";"-23.5022996";"-46.7613318"
"6332463";"UBS JARDIM SILVEIRA";"-23.8504598";"-46.7132448"
"6365825";"UAD CAPELA DO SOCORRO";"-23.587778";"-46.716667"
"7992890";"HOSPITAL DIA REDE HORA CERTA DA CAPELA DO SOCORRO";"-23.6956122";"-46.6596063"
"2787938";"UBS JARDIM VERA CRUZ - PERDIZES";"-23.538455";"-46.6891356"
"4049845";"RESIDÊNCIA TERAPÊUTICA PERDIZES I - MISTA";"-23.5369017";"-46.6743166"
"2788675";"UBS VILA ANASTÁCIO";"-23.5158203";"-46.7227445"
"2786990";"UBS DON LUCIANO BERGAMIM";NA;NA
"2038102";"UBS MARIA TEREZA DE ANDRADE N S APARECIDA";"-21.1869383";"-50.4323902"
"2047861";"UAMO DR JOSE LUIS MADRID AGUA LIMPA";"-18.0748963";"-48.7623203"
"2788551";"UBS SERGIO CHADDAD";"-23.7432472";"-46.7110211"
"2039036";"UBS EZEQUIEL BARBOSA SAO JOSE";"-21.2009924";"-50.4739033"
"9844589";"CER IV MILTON ALDRED";NA;NA
"3689247";"UBS JARDIM IPORA";"-23.7833186";"-46.7124923"
"2752093";"PSM BALNEÁRIO SÃO JOSÉ";"-23.7714299";"-46.7236842"
"2787229";"UBS JARDIM CAMPINAS";"-23.7716218";"-46.7125469"
"9214046";"UBS DR SATORU OKIDA JD ATLANTICO";"-21.1533199";"-50.4529964"
"2039079";"UBS DR FRANCISCO SILVA VILLELA SAO JOAO";NA;NA
"9129839";"URSI CAPELA DO SOCORRO";"-23.5319928";"-46.6523931"
"9794751";"UBS JARDIM LUCÉLIA";"-23.7585755";"-46.6741555"
"6657184";"CAPS INFANTOJUVENIL II CAPELA DO SOCORRO PIRACAO";"-23.587778";"-46.716667"
"2789248";"UBS VILA ROMANA";"-23.528966";"-46.6953006"
"4050177";"AMA UBS INTEGRADA CASTRO ALVES";"-12.7630815";"-39.4297707"
"2032422";"UBS DR WANDERLEY VUOLO JARDIM TV";"-21.1861939";"-50.4535665"
"2751887";"UBS JD CLIPER";"-23.7238409";"-46.7061678"
"2076934";"HOSPITAL SOROCABANA";"-23.5239057";"-46.7013448"
"7019076";"HOSP DIA DA REDE HORA CERTA BRASILÂNDIA";"-23.4731889";"-46.6841275"
"6754589";"UBS FARMACEUTICO ANTONIO SARAIVA JARDIM IPORA";"-21.2315866";"-50.4492567"
"2752301";"UBS JOSÉ DE BARROS MAGALDI";"-23.5873427";"-46.6853113"
"6018939";"UBS COLONIA";"-23.1809127";"-46.8588581"
"2789280";"UBS VARGEM GRANDE";"-23.8563295";"-46.7047291"
"6332501";"UBS VILA MARCELO";NA;NA
"6928382";"UBS JOSE PEREIRA DA SILVA JACUTINGA";"-21.3001531";"-50.5702856"
"2091712";"UBS/AE/CEO DR. WALTER ELIAS";"-23.5094975";"-46.6640099"
"2786710";"UBS ADELAIDE LOPES";NA;NA
"6018912";"UBS JARDIM EMBURA";"-23.8807969";"-46.7422853"
"2027682";"UBS CASA VERDE";"-23.5045307";"-46.6598806"
"6332447";"UBS JARDIM SANTA FE";"-23.8321014";"-46.711067"
